Site,Status,Most Probable Number (MPN) of Enterococcus colonies per 100 ml,Year
"East River, Hammond Cove (HC)",Unacceptable if levels persist,52,2021
"East River, Hammond Cove (HC)",Acceptable,30,2021
"East River, Hammond Cove (HC)",Unacceptable if levels persist,63,2021
"East River, Hammond Cove (HC)",High,388,2021
"East River, Hammond Cove (HC)",High,670,2021
"East River, Hammond Cove (HC)",Acceptable,31,2021
"East River, Hammond Cove (HC)",High,173,2021
"East River, Hammond Cove (HC)",High,173,2021
"East River, Hammond Cove (HC)",High,373,2021
"East River, Hammond Cove (HC)",Acceptable,20,2021
"East River, Hammond Cove (HC)",Acceptable,31,2021
"East River, Hammond Cove (HC)",Acceptable,10,2021
"East River, Hammond Cove (HC)",High,121,2021
"East River, Hammond Cove (HC)",Unacceptable if levels persist,75,2021
"East River, Hammond Cove (HC)",High,7270,2021
"East River, Hammond Cove (HC)",High,350,2021
"East River, Hammond Cove (HC)",Acceptable,20,2021
"East River, Hammond Cove (HC)",Acceptable,20,2021
"East River, Hammond Cove (HC)",Acceptable,10,2021
"East River, North 3rd Street",Acceptable,20,2019
"East River, North 3rd Street",High,187,2019
"East River, North 3rd Street",Unacceptable if levels persist,41,2019
"East River, North 3rd Street",High,169,2019
"East River, North 3rd Street",Acceptable,20,2019
"East River, North 3rd Street",Acceptable,20,2019
"East River, North 3rd Street",Acceptable,31,2019
"East River, North 3rd Street",Unacceptable if levels persist,62,2019
"East River, North 3rd Street",High,3654,2019
"East River, North 3rd Street",Unacceptable if levels persist,52,2019
"East River, North 3rd Street",Unacceptable if levels persist,98,2019
"East River, North 3rd Street",Acceptable,20,2019
"East River, North 3rd Street",Acceptable,10,2019
"East River, North 3rd Street",Acceptable,10,2019
"East River, North 3rd Street",High,1274,2019
"East River, North 3rd Street",Unacceptable if levels persist,41,2020
"East River, North 3rd Street",Unacceptable if levels persist,63,2020
"East River, North 3rd Street",Acceptable,20,2020
"East River, North 3rd Street",High,201,2020
"East River, North 3rd Street",High,1682,2020
"East River, North 3rd Street",Acceptable,10,2020
"East River, North 3rd Street",Acceptable,31,2020
"East River, North 3rd Street",High,4352,2020
"East River, North 3rd Street",Unacceptable if levels persist,52,2020
"East River, North 3rd Street",Acceptable,10,2020
"East River, North 3rd Street",High,119,2020
"East River, North 3rd Street",Acceptable,10,2021
"East River, North 3rd Street",Acceptable,10,2021
"East River, North 3rd Street",Acceptable,30,2021
"East River, North 3rd Street",Acceptable,30,2021
"East River, North 3rd Street",Unacceptable if levels persist,85,2021
"East River, North 3rd Street",Acceptable,10,2021
"East River, North 3rd Street",Acceptable,10,2021
"East River, North 3rd Street",High,226,2021
"East River, North 3rd Street",Unacceptable if levels persist,85,2021
"East River, North 3rd Street",High,135,2021
"East River, North 3rd Street",Acceptable,20,2021
"East River, North 3rd Street",Acceptable,20,2021
"East River, North 3rd Street",Acceptable,10,2021
"East River, North 3rd Street",Acceptable,20,2021
"East River, North 3rd Street",High,221,2021
"East River, North 3rd Street",Unacceptable if levels persist,52,2021
"East River, North 3rd Street",High,1076,2021
"East River, North 3rd Street",Unacceptable if levels persist,41,2021
"East River, North 3rd Street",Unacceptable if levels persist,97,2021
"East River, North 3rd Street",High,269,2021
"East River, North 3rd Street",Unacceptable if levels persist,41,2021
"East River, North 3rd Street",Acceptable,10,2021
"East River, North 3rd Street",High,457,2021
"East River, North 3rd Street",High,703,2021
"East River, North 3rd Street",Acceptable,31,2021
"East River, North 3rd Street",High,1616,2021
"East River, North 3rd Street",High,5475,2021
"East River, North 3rd Street",High,563,2021
"East River, North 3rd Street",Acceptable,31,2021
"East River, Pier 1 (Brooklyn Bridge Park)",High,158,2012
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,10,2012
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,10,2012
"East River, Pier 1 (Brooklyn Bridge Park)",Unacceptable if levels persist,52,2012
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,20,2012
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,10,2012
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,31,2012
"East River, Pier 1 (Brooklyn Bridge Park)",Unacceptable if levels persist,52,2012
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,10,2012
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,20,2012
"East River, Pier 1 (Brooklyn Bridge Park)",High,132,2012
"East River, Pier 1 (Brooklyn Bridge Park)",Unacceptable if levels persist,52,2012
"East River, Pier 1 (Brooklyn Bridge Park)",Unacceptable if levels persist,40,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Unacceptable if levels persist,52,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,20,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,30,2013
"East River, Pier 1 (Brooklyn Bridge Park)",High,181,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,10,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Unacceptable if levels persist,52,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,10,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,20,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Unacceptable if levels persist,52,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,10,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,10,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Unacceptable if levels persist,52,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,30,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,10,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,31,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,20,2013
"East River, Pier 1 (Brooklyn Bridge Park)",Acceptable,10,2013
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2014
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",High,201,2014
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,31,2014
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2014
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2014
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2014
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2014
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2014
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,30,2014
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",High,120,2014
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2015
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2015
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,20,2015
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,31,2015
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2015
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2015
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2015
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,96,2015
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2015
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,98,2015
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2016
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2016
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,20,2016
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2016
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,20,2016
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,85,2016
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,52,2016
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,31,2016
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2016
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2017
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2017
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2017
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,20,2017
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2017
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,31,2017
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,60,2017
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2017
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,20,2017
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,20,2017
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2018
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,20,2018
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2018
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2018
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2018
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2018
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,30,2018
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2018
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,31,2018
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,20,2018
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,94,2019
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,20,2019
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,31,2019
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",High,173,2019
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2019
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2019
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,63,2019
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,20,2020
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",High,122,2020
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2020
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,73,2020
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,63,2020
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,20,2020
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,52,2020
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2021
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2021
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",High,359,2021
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2021
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,20,2021
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2021
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,20,2021
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2021
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2021
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,20,2021
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",High,473,2021
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2021
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,31,2021
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",Acceptable,10,2021
"East River, Pier 35 (+POOL)",Unacceptable if levels persist,52,2021
"East River, Pier 35 (+POOL)",Acceptable,20,2021
"East River, Pier 35 (+POOL)",Acceptable,10,2021
"East River, Pier 35 (+POOL)",High,520,2021
"East River, Pier 35 (+POOL)",Acceptable,31,2021
"East River, Pier 35 (+POOL)",Acceptable,31,2021
"East River, Pier 35 (+POOL)",Acceptable,30,2021
"East River, Pier 35 (+POOL)",High,218,2021
"East River, Pier 35 (+POOL)",High,134,2021
"East River, Pier 35 (+POOL)",High,171,2021
"East River, Pier 35 (+POOL)",Unacceptable if levels persist,52,2021
"East River, Pier 35 (+POOL)",High,3130,2021
"East River, Pier 35 (+POOL)",Unacceptable if levels persist,52,2021
"East River, Pier 35 (+POOL)",High,250,2021
"East River, Pier 35 (+POOL)",Acceptable,30,2021
"East River, Pier 35 (+POOL)",Acceptable,31,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,213,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,512,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,31,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,473,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,86,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,62,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,30,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,51,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,94,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,121,2014
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,63,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,75,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,134,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,213,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,410,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,30,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,63,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,31,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,201,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,171,2015
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,52,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,3873,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,216,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,311,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,63,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,86,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,209,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,107,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,148,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,63,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,97,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,85,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,489,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,399,2016
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,538,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,85,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,529,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,63,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,52,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,98,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,199,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2017
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,228,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,529,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,75,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,836,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,209,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,84,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,52,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,31,2018
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,73,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,95,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,259,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,98,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,63,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,30,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,109,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,81,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,30,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2019
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,85,2020
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2020
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2020
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,109,2020
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,41,2020
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2020
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,1624,2020
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2020
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,4360,2020
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2020
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,109,2020
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,30,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,50,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,135,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,464,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,31,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,20,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,84,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",High,1112,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,84,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Unacceptable if levels persist,85,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2021
"East River, Pier 4 Beach (Brooklyn Bridge Park)",Acceptable,10,2021
"East River, Pier 42/Jackson Street",Acceptable,10,2012
"East River, Pier 42/Jackson Street",Acceptable,30,2012
"East River, Pier 42/Jackson Street",High,173,2012
"East River, Pier 42/Jackson Street",High,134,2012
"East River, Pier 42/Jackson Street",High,2143,2012
"East River, Pier 42/Jackson Street",Unacceptable if levels persist,52,2012
"East River, Pier 42/Jackson Street",Acceptable,10,2012
"East River, Pier 42/Jackson Street",High,148,2012
"East River, Pier 42/Jackson Street",High,884,2012
"East River, Pier 42/Jackson Street",Acceptable,20,2012
"East River, Pier 42/Jackson Street",High,448,2012
"East River, Pier 42/Jackson Street",High,373,2012
"East River, Pier 42/Jackson Street",Acceptable,31,2012
"East River, Pier 42/Jackson Street",Acceptable,10,2013
"East River, Pier 42/Jackson Street",High,109,2013
"East River, Pier 42/Jackson Street",Unacceptable if levels persist,41,2013
"East River, Pier 42/Jackson Street",High,122,2013
"East River, Pier 42/Jackson Street",Acceptable,10,2013
"East River, Pier 42/Jackson Street",High,160,2013
"East River, Pier 42/Jackson Street",High,520,2013
"East River, Pier 42/Jackson Street",Acceptable,10,2013
"East River, Pier 42/Jackson Street",Unacceptable if levels persist,52,2013
"East River, Pier 42/Jackson Street",Acceptable,10,2013
"East River, Pier 42/Jackson Street",Acceptable,20,2013
"East River, Pier 42/Jackson Street",Acceptable,20,2013
"East River, Pier 42/Jackson Street",High,110,2013
"East River, Pier 42/Jackson Street",Acceptable,20,2013
"East River, Pier 42/Jackson Street",High,471,2013
"East River, Pier 42/Jackson Street",Acceptable,10,2013
"East River, Pier 42/Jackson Street",Acceptable,10,2013
"East River, Pier 42/Jackson Street",Acceptable,10,2014
"East River, Pier 42/Jackson Street",Acceptable,20,2014
"East River, Pier 42/Jackson Street",High,733,2014
"East River, Pier 42/Jackson Street",Unacceptable if levels persist,41,2014
"East River, Pier 42/Jackson Street",Acceptable,31,2014
"East River, Pier 42/Jackson Street",Acceptable,10,2014
"East River, Pier 42/Jackson Street",High,243,2014
"East River, Pier 42/Jackson Street",Acceptable,20,2014
"East River, Pier 42/Jackson Street",High,122,2014
"East River, Pier 42/Jackson Street",Unacceptable if levels persist,41,2014
"East River, Pier 42/Jackson Street",Acceptable,10,2014
"East River, Pier 42/Jackson Street",Unacceptable if levels persist,52,2014
"East River, Pier 42/Jackson Street",Acceptable,10,2014
"East River, Pier 42/Jackson Street",Acceptable,10,2014
"East River, Pier 42/Jackson Street",Acceptable,10,2014
"East River, Pier 42/Jackson Street",Acceptable,20,2015
"East River, Pier 42/Jackson Street",Acceptable,10,2015
"East River, Pier 42/Jackson Street",Acceptable,20,2015
"East River, Pier 42/Jackson Street",Acceptable,10,2015
"East River, Pier 42/Jackson Street",Acceptable,20,2015
"East River, Pier 42/Jackson Street",Acceptable,10,2015
"East River, Pier 42/Jackson Street",Acceptable,20,2015
"East River, Pier 42/Jackson Street",Acceptable,10,2015
"East River, Pier 42/Jackson Street",Acceptable,20,2015
"East River, Pier 42/Jackson Street",Unacceptable if levels persist,52,2015
"East River, Pier 42/Jackson Street",Acceptable,20,2015
"East River, Pier 42/Jackson Street",Acceptable,10,2015
"East River, Pier 42/Jackson Street",High,108,2015
"East River, Pier 42/Jackson Street",Acceptable,10,2016
"East River, Pier 42/Jackson Street",Unacceptable if levels persist,41,2016
"East River, Pier 42/Jackson Street",High,199,2016
"East River, Pier 42/Jackson Street",Acceptable,20,2016
"East River, Pier 42/Jackson Street",Acceptable,20,2016
"East River, Pier 42/Jackson Street",Acceptable,20,2016
"East River, Pier 42/Jackson Street",Acceptable,10,2016
"East River, Pier 42/Jackson Street",Acceptable,10,2016
"East River, Pier 42/Jackson Street",Unacceptable if levels persist,63,2016
"East River, Pier 42/Jackson Street",Acceptable,10,2016
"East River, Pier 42/Jackson Street",Acceptable,10,2016
"East River, Pier 42/Jackson Street",Acceptable,31,2017
"East River, Pier 42/Jackson Street",Acceptable,30,2017
"East River, Pier 42/Jackson Street",Acceptable,10,2017
"East River, Pier 42/Jackson Street",Unacceptable if levels persist,73,2017
"East River, Pier 42/Jackson Street",Acceptable,20,2017
"East River, Pier 42/Jackson Street",Acceptable,10,2017
